,Text,Ground_Truth
0,Activate all who work with Transmission or have any good ideas on the subject.,True
1,Add more to your score by stopping in and picking up hefty load of construction supplies to win.,True
2,Add O'neal Winfee and George Smith to the attendees list.,True
3,"Additionally, send me the payment schedule for Tenaska IV this month.",True
4,Adjust our purchase amount from each party based on the transport allocation.,True
5,"After the next meeting, let me know on the timing of preparing this draft.",True
6,After this is done please let Stephanie know so that she can redraft her invoice the next day after POPS bridges to MOPS.,True
7,"Alex, please use the second check as the October payment.",True
8,"Alicia, Please schedule me to attend this meeting.",True
9,Allen Please authorize the following products for app,True
10,Allen Please authorize the following products for approval.,True
11,Allocate them evenly among these teams.,True
12,Allow people to know month ahead if they will be affected by rolling blackouts.,True
13,Also include the incremental volume you are wishing to transport under the compression agreement.,True
14,Also please check the mathematical integrity of our figures.,True
15,Also please confirm this whether we should bill EES for this deal or not.,True
16,Also please review the following list of issues and others to be added so that can send CES an agenda.,True
17,Also Rika please consider gather couple of your powerusers and we can review this app for other refinements.,True
18,Also you have to bottom out the exhaust related performance LD's.,True
19,"Also, I need you to update the unit serial numbers if you'd like them included in the agreement.",True
20,"Also, make sure to submit your feedback in consolidated format and on the spreadsheet attached below only one feedback from each group at time instead of multiple feedbacks from different people.",True
21,"Also, please advise of the results of the conference call which you had with am working on the assignment and assumption agreement.",True
22,"Also, please check to see if date for offsite has been set and reschedule that to next week.",True
23,"Also, please find out who the releasing shipper is and the primary receipt and delivery points.",True
24,"Also, please make sure that we LOGOFF again tonight...the IT group could not migrate us over the weekend due to incomplete items with legal.",True
25,"Alternatively, notify the sender by replying to this transmission and delete the message without disclosing it.",True
26,"Alvin, please show this on the morning sheet as Put to COH at IF or something real intelligent like that for next 3 days.",True
27,Always check with someone from UNIFY to make sure no one used these deals for anything in UNIFY.,True
28,"American Express, please hit the reply button and let us know by subject line.",True
29,Andrea Dahlke and Wiese has to confirm through email that both of you understand the REC situation for Green Mountain.,True
30,"Andrea, Please resend the first three resumes.",True
31,"Andrea, please resend the first three resumes.",True
32,"Andrew Please check with credit, and after they approve, come to me to assign.",True
33,"Andy Rodriquez Claudia please arrange conference call with Tim, John and myself to discuss the method for allocation going forward.",True
34,"Andy, Please assign user name to Ran",True
35,"Andy, Please assign user name to Randy Gay.",True
36,"Angela, make sure buy Chris's gift on Monday.",True
37,"Angela, please pick the 29th or 30th based on JLG's schedule and send to Tracy about the schedule.",True
38,"Angie, for tomorrow, please schedule this as parked as current day activity.",True
39,Anne please look into this issue and clear it for Doug.,True
40,"Apologize to Dr.Lay and return $10,000 in campaign cash.",True
41,apply even when alternate delivery points are nominated.,True
42,Approve any takeover even if company directors object.,True
43,Approve President Bush's plan to deal with the country's current energy problems.,True
44,"As a priority, please resolve outstanding issues on client accounts.",True
45,"as you are selected in a team tournament we request you to enter as an individual and please contact one of the following by Monday, May 8th.",True
46,Ask LT to help on this and carefully consider your financial position before trading.,True
47,Ask them about their Lone Star transport allocation.,True
48,Ask them for specific site so we can do the research in the event that any of them raise the issue of paying any of the old Enron bills.,True
49,"At your earliest convenience, please give me call to address these concerns.",True
50,"Attached please find the resume and schedule interview for Blake Townsley's informational interviews for Monday, January 29.",True
51,Attend the call with EPSA about this effort on Tuesday at 5p.m.,True
52,Authorize Mettatal to file our pleading.,True
53,avoid possible system delays near the deadline.,True
54,Be ready for us to bill out on Monday.,True
55,"Be ready with the answers for the cities you're interested in, how long you want to track them, so we can schedule it accordingly.",True
56,Be sure to indicate complete cardholder information.,True
57,"Be sure to respond before December 28, 2001.",True
58,bend them back as far as possible with as much pressure pushing down on them as possible.,True
59,Bid $10 on jeff feagles on my behalf.,True
